Date,Close
2016-01-04,101.33016967773438
2016-01-05,101.83573150634766
2016-01-06,102.07363891601562
2016-01-07,97.06759643554688
2016-01-08,96.48274230957031
2016-01-11,96.66117095947266
2016-01-12,98.50496673583984
2016-01-13,94.60919189453125
2016-01-14,97.51367950439453
2016-01-15,94.14328002929688
2016-01-19,94.4307632446289
2016-01-20,93.5286636352539
2016-01-21,93.34032440185547
2016-01-22,97.08743286132812
2016-01-25,96.16552734375
2016-01-26,96.49264526367188
2016-01-27,93.62779998779297
2016-01-28,108.16019439697266
2016-01-29,111.23320770263672
2016-02-01,114.08812713623047
2016-02-02,113.61229705810547
2016-02-03,111.70902252197266
2016-02-04,109.52816772460938
2016-02-05,103.1640625
2016-02-08,98.88166046142578
2016-02-09,98.6734848022461
2016-02-10,100.12078094482422
2016-02-11,101.02286529541016
2016-02-12,101.12198638916016
2016-02-16,100.72547912597656
2016-02-17,104.28421783447266
2016-02-18,102.56928253173828
2016-02-19,103.65970611572266
2016-02-22,106.22716522216797
2016-02-23,104.54195404052734
2016-02-24,105.94959259033203
2016-02-25,107.12924194335938
2016-02-26,106.98053741455078
2016-02-29,105.98924255371094
2016-03-01,108.86400604248047
2016-03-02,108.99288177490234
2016-03-03,108.62609100341797
2016-03-04,107.44644927978516
2016-03-07,104.80961608886719
2016-03-08,105.00785827636719
2016-03-09,106.57411193847656
2016-03-10,106.38577270507812
2016-03-11,108.45757293701172
2016-03-14,108.93340301513672
2016-03-15,109.70660400390625
2016-03-16,111.20346069335938
2016-03-17,110.0535659790039
2016-03-18,110.47982025146484
2016-03-21,110.87632751464844
2016-03-22,111.2728500366211
2016-03-23,111.56034088134766
2016-03-24,112.06588745117188
2016-03-28,112.7003173828125
2016-03-29,115.12898254394531
2016-03-30,113.70152282714844
2016-03-31,113.10675048828125
2016-04-01,115.0496826171875
2016-04-04,111.57024383544922
2016-04-05,111.24313354492188
2016-04-06,112.72015380859375
2016-04-07,112.6507568359375
2016-04-08,109.66696166992188
2016-04-11,108.04121398925781
2016-04-12,109.64712524414062
2016-04-13,109.54798889160156
2016-04-14,109.8751220703125
2016-04-15,108.6855697631836
2016-04-18,109.48851776123047
2016-04-19,111.31251525878906
2016-04-20,111.44137573242188
2016-04-21,112.4524917602539
2016-04-22,109.59756469726562
2016-04-25,109.1415786743164
2016-04-26,107.81324005126953
2016-04-27,107.94210052490234
2016-04-28,115.71385192871094
2016-04-29,116.55645751953125
2016-05-02,117.53783416748047
2016-05-03,116.40775299072266
2016-05-04,117.03226470947266
2016-05-05,116.78443145751953
2016-05-06,118.44982147216797
2016-05-09,118.20198822021484
2016-05-10,119.45103454589844
2016-05-11,118.47956085205078
2016-05-12,119.23295593261719
2016-05-13,118.76703643798828
2016-05-16,117.636962890625
2016-05-17,116.32846069335938
2016-05-18,116.6258316040039
2016-05-19,115.79312896728516
2016-05-20,116.32846069335938
2016-05-23,114.96046447753906
2016-05-24,116.6753921508789
2016-05-25,116.8637466430664
2016-05-26,118.43000030517578
2016-05-27,118.34077453613281
2016-05-31,117.77574157714844
2016-06-01,117.74600219726562
2016-06-02,117.89470672607422
2016-06-03,117.4386978149414
2016-06-06,117.75592041015625
2016-06-07,116.73489379882812
2016-06-08,117.35938262939453
2016-06-09,117.52790832519531
2016-06-10,115.60481262207031
2016-06-13,112.95806121826172
2016-06-14,113.9394302368164
2016-06-15,113.60238647460938
2016-06-16,113.39421844482422
2016-06-17,112.03614044189453
2016-06-20,112.38311767578125
2016-06-21,113.3843002319336
2016-06-22,112.91840362548828
2016-06-23,114.07821655273438
2016-06-24,111.10432434082031
2016-06-27,108.02140808105469
2016-06-28,111.71894073486328
2016-06-29,113.16622161865234
2016-06-30,113.28516387939453
2016-07-01,113.19596099853516
2016-07-05,113.20587158203125
2016-07-06,115.68411254882812
2016-07-07,114.84151458740234
2016-07-08,116.21940612792969
2016-07-11,116.84392547607422
2016-07-12,116.9034194946289
2016-07-13,115.76341247558594
2016-07-14,116.26897430419922
2016-07-15,115.84271240234375
2016-07-18,118.33087921142578
2016-07-19,119.56007385253906
2016-07-20,120.8586654663086
2016-07-21,119.56007385253906
2016-07-22,119.94668579101562
2016-07-25,120.5711898803711
2016-07-26,120.16476440429688
2016-07-27,122.26631927490234
2016-07-28,123.91185760498047
2016-07-29,122.86109924316406
2016-08-01,123.22786712646484
2016-08-02,122.01847839355469
2016-08-03,121.44352722167969
2016-08-04,123.27742767333984
2016-08-05,124.06055450439453
2016-08-08,124.16960144042969
2016-08-09,123.9713363647461
2016-08-10,123.79291534423828
2016-08-11,123.81272888183594
2016-08-12,123.79291534423828
2016-08-15,122.82144165039062
2016-08-16,122.2266616821289
2016-08-17,123.28733825683594
2016-08-18,122.83135223388672
2016-08-19,122.48439025878906
2016-08-22,123.06926727294922
2016-08-23,123.28733825683594
2016-08-24,122.40509033203125
2016-08-25,122.81153106689453
2016-08-26,123.87220764160156
2016-08-29,125.4384536743164
2016-08-30,124.74455261230469
2016-08-31,125.02210235595703
2016-09-01,125.0716781616211
