ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2020-03-20,Baird,525.0,28.50200080871582,2021-03-22,223.3333282470703
2020-03-24,Citigroup,246.0,33.66666793823242,2021-03-24,210.08999633789062
2020-03-24,Morgan Stanley,440.0,33.66666793823242,2021-03-24,210.08999633789062
2020-03-27,Piper Sandler,820.0,34.29066848754883,2021-03-29,203.76333618164062
2020-03-30,Wedbush,425.0,33.47533416748047,2021-03-30,211.8733367919922
2020-03-31,Credit Suisse,415.0,34.93333435058594,2021-03-31,222.64332580566406
2020-04-06,Jefferies,650.0,34.41600036621094,2021-04-06,230.5399932861328
2020-04-06,Baird,525.0,34.41600036621094,2021-04-06,230.5399932861328
2020-04-14,Credit Suisse,580.0,47.32600021362305,2021-04-14,244.07666015625
2020-04-15,Goldman Sachs,864.0,48.65533447265625,2021-04-15,246.28334045410156
2020-04-22,B of A Securities,485.0,48.807334899902344,2021-04-22,239.89666748046875
2020-04-30,CFRA,775.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,B of A Securities,500.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,Oppenheimer,968.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,Wedbush,600.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,Credit Suisse,700.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,Piper Sandler,939.0,52.12533187866211,2021-04-30,236.47999572753906
2020-04-30,JMP Securities,1020.0,52.12533187866211,2021-04-30,236.47999572753906
2020-05-04,Morgan Stanley,680.0,50.74599838256836,2021-05-04,224.53334045410156
2020-05-19,JMP Securities,1001.0,53.867332458496094,2021-05-19,187.82000732421875
2020-05-27,Wedbush,800.0,54.68199920654297,2021-05-27,210.28334045410156
2020-05-29,Daiwa Capital,910.0,55.66666793823242,2021-06-01,207.96665954589844
2020-06-10,Wedbush,1000.0,68.336669921875,2021-06-10,203.3733367919922
2020-06-12,Morgan Stanley,650.0,62.35200119018555,2021-06-14,205.89666748046875
2020-06-18,Jefferies,1200.0,66.9306640625,2021-06-18,207.77000427246094
2020-06-19,JP Morgan,275.0,66.72666931152344,2021-06-21,206.94332885742188
2020-07-01,UBS,800.0,74.64199829101562,2021-07-01,225.97332763671875
2020-07-02,Wedbush,1250.0,80.57733154296875,2021-07-02,226.3000030517578
2020-07-06,JP Morgan,59.0,91.43866729736328,2021-07-06,219.86000061035156
2020-07-07,Goldman Sachs,1300.0,92.65733337402344,2021-07-07,214.88333129882812
2020-07-07,Morgan Stanley,740.0,92.65733337402344,2021-07-07,214.88333129882812
2020-07-13,Roth Capital,150.0,99.80400085449219,2021-07-13,222.84666442871094
2020-07-14,Piper Sandler,480.0,101.12000274658203,2021-07-14,217.7933349609375
2020-07-16,Citigroup,450.0,100.04266357421875,2021-07-16,214.74000549316406
2020-07-17,Credit Suisse,280.0,100.05599975585938,2021-07-19,215.4066619873047
2020-07-17,CFRA,1100.0,100.05599975585938,2021-07-19,215.4066619873047
2020-07-17,Baird,984.0,100.05599975585938,2021-07-19,215.4066619873047
2020-07-22,B of A Securities,800.0,106.15533447265625,2021-07-22,216.4199981689453
2020-07-23,Goldman Sachs,295.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Oppenheimer,2209.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Deutsche Bank,300.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,CFRA,1220.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Baird,1658.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,RBC Capital,850.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Cowen & Co.,220.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Canaccord Genuity,324.6,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Piper Sandler,2400.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-23,Wedbush,1800.0,100.87133026123047,2021-07-23,214.4600067138672
2020-07-24,Argus Research,1888.0,94.46666717529297,2021-07-26,219.2066650390625
2020-07-24,Daiwa Capital,330.0,94.46666717529297,2021-07-26,219.2066650390625
2020-07-28,Bernstein,180.0,98.43267059326172,2021-07-28,215.66000366210938
2020-07-29,Morgan Stanley,1050.0,99.94066619873047,2021-07-29,225.78334045410156
2020-08-04,Citigroup,550.0,99.13333129882812,2021-08-04,236.97332763671875
2020-08-14,Morgan Stanley,272.0,110.04733276367188,2021-08-16,228.72332763671875
2020-08-14,B of A Securities,350.0,110.04733276367188,2021-08-16,228.72332763671875
2020-08-17,Wedbush,1900.0,122.3759994506836,2021-08-17,221.90333557128906
2020-08-26,Jefferies,500.0,143.54466247558594,2021-08-26,233.72000122070312
2020-08-31,Wedbush,380.0,166.10667419433594,2021-08-31,245.24000549316406
2020-08-31,Argus Research,566.0,166.10667419433594,2021-08-31,245.24000549316406
2020-08-31,Canaccord Genuity,442.0,166.10667419433594,2021-08-31,245.24000549316406
