ticker_date,Firm,TargetPrice,StockPriceAtTarget,ForwardDate,StockPrice12mForward
2018-07-25,Cantor Fitzgerald,110.0,86.51766967773438,2019-07-25,98.84246063232422
2018-07-25,Credit Suisse,86.0,86.51766967773438,2019-07-25,98.84246063232422
2018-07-31,Morgan Stanley,102.0,88.65304565429688,2019-07-31,99.87838745117188
2018-09-07,Barclays,107.0,96.55876922607422,2019-09-09,102.39266967773438
2018-09-18,Barclays,112.0,96.42342376708984,2019-09-18,103.91376495361328
2018-10-03,BMO Capital,107.0,97.99319458007812,2019-10-03,98.9079818725586
2018-10-05,BMO Capital,130.0,103.76705932617188,2019-10-07,99.40579986572266
2018-10-12,Barclays,120.0,99.6712417602539,2019-10-14,99.4703140258789
2018-10-24,Wolfe Research,119.0,95.91822814941406,2019-10-24,99.41498565673828
2019-05-01,BMO Capital,133.0,107.73546600341797,2020-04-30,144.12181091308594
2019-05-28,Goldman Sachs,135.0,106.121337890625,2020-05-27,136.42918395996094
2019-09-10,B of A Securities,120.0,102.4203109741211,2020-09-09,142.993896484375
2019-10-17,UBS,133.0,99.986572265625,2020-10-16,137.48939514160156
2019-12-18,Morgan Stanley,150.0,120.05091857910156,2020-12-17,163.26821899414062
2019-12-18,JP Morgan,150.0,120.05091857910156,2020-12-17,163.26821899414062
2019-12-30,Argus Research,165.0,121.7383804321289,2020-12-29,157.54627990722656
2020-02-06,Mizuho,148.0,136.5732421875,2021-02-05,190.8279266357422
2020-03-11,Goldman Sachs,168.0,130.49627685546875,2021-03-11,194.8918914794922
2020-04-02,Morgan Stanley,148.0,132.50933837890625,2021-04-05,175.59359741210938
2020-04-15,Cowen & Co.,160.0,140.89718627929688,2021-04-15,176.57179260253906
2020-04-21,UBS,158.0,142.2858123779297,2021-04-21,181.3488311767578
2020-04-24,CFRA,167.0,151.84796142578125,2021-04-26,177.80642700195312
2020-06-17,JP Morgan,190.0,149.79122924804688,2021-06-17,211.96969604492188
2020-06-19,B of A Securities,180.0,149.7631072998047,2021-06-21,212.40847778320312
2020-08-14,Morgan Stanley,157.0,141.2249298095703,2021-08-16,258.3315124511719
2020-09-03,Morgan Stanley,176.0,140.21804809570312,2021-09-03,248.36923217773438
2020-09-29,Berenberg,144.0,137.62112426757812,2021-09-29,220.45359802246094
2020-10-16,JP Morgan,200.0,137.48939514160156,2021-10-18,228.70291137695312
2020-10-23,Truist Securities,180.0,133.97027587890625,2021-10-25,234.5118408203125
2020-10-28,Morgan Stanley,170.0,123.55413818359375,2021-10-28,242.45497131347656
2020-11-10,Bernstein,150.0,137.9033660888672,2021-11-10,253.26898193359375
2020-11-17,Mizuho,156.0,133.54266357421875,2021-11-17,250.7598419189453
2020-12-10,Wolfe Research,183.0,152.26885986328125,2021-12-10,234.39964294433594
2021-01-19,Mizuho,222.0,187.71630859375,2022-01-19,235.27330017089844
2021-01-22,B of A Securities,225.0,194.96092224121094,2022-01-24,230.8280487060547
2021-02-01,Mizuho,228.0,192.12367248535156,2022-02-01,238.37448120117188
2021-02-01,Truist Securities,215.0,192.12367248535156,2022-02-01,238.37448120117188
2021-02-04,Morgan Stanley,217.0,190.68605041503906,2022-02-04,232.6042938232422
2021-02-12,Cowen & Co.,235.0,196.8672637939453,2022-02-14,226.267333984375
2021-03-15,Truist Securities,225.0,179.6488494873047,2022-03-15,265.57415771484375
2021-04-28,Mizuho,216.0,171.4717559814453,2022-04-28,286.6014099121094
2021-04-28,Barclays,227.0,171.4717559814453,2022-04-28,286.6014099121094
2021-04-28,Morgan Stanley,207.0,171.4717559814453,2022-04-28,286.6014099121094
2021-06-14,Goldman Sachs,270.0,215.68043518066406,2022-06-14,281.29864501953125
2021-06-15,JP Morgan,260.0,213.21929931640625,2022-06-15,283.4268493652344
2021-06-24,Cowen & Co.,250.0,222.2338104248047,2022-06-24,314.9918212890625
2021-06-24,Cantor Fitzgerald,300.0,222.2338104248047,2022-06-24,314.9918212890625
2021-07-02,Truist Securities,262.0,223.17820739746094,2022-07-05,316.50091552734375
2021-07-06,Barclays,250.0,224.5709228515625,2022-07-06,319.37396240234375
2021-08-04,Mizuho,279.0,250.3743438720703,2022-08-04,295.80914306640625
2021-08-04,Morgan Stanley,275.0,250.3743438720703,2022-08-04,295.80914306640625
2021-08-05,DZ Bank,288.0,252.0150909423828,2022-08-05,291.48492431640625
2021-08-05,Morgan Stanley,275.0,252.0150909423828,2022-08-05,291.48492431640625
2021-08-30,Cowen & Co.,300.0,251.02963256835938,2022-08-30,297.9879455566406
2021-09-29,Citigroup,265.0,220.45359802246094,2022-09-29,320.28076171875
2021-10-11,Berenberg,270.0,223.6212615966797,2022-10-11,317.9418029785156
2021-11-19,BMO Capital,311.0,250.2989959716797,2022-11-21,351.49993896484375
2021-12-09,Wells Fargo,270.0,233.20912170410156,2022-12-09,351.3246765136719
2021-12-17,Goldman Sachs,236.0,256.7508544921875,2022-12-19,348.2006530761719
2021-12-20,Barclays,325.0,252.96807861328125,2022-12-20,350.0108337402344
2021-12-20,Berenberg,305.0,252.96807861328125,2022-12-20,350.0108337402344
2022-01-04,Wells Fargo,280.0,256.1651916503906,2023-01-04,353.3782043457031
2022-01-21,DZ Bank,291.0,233.36276245117188,2023-01-23,333.0475158691406
2022-01-24,Morgan Stanley,272.0,230.8280487060547,2023-01-24,337.1155700683594
2022-02-04,Mizuho,293.0,232.6042938232422,2023-02-06,328.6193542480469
2022-02-04,Morgan Stanley,265.0,232.6042938232422,2023-02-06,328.6193542480469
2022-04-06,Morgan Stanley,364.0,294.8638000488281,2023-04-06,359.5888671875
2022-04-12,Goldman Sachs,264.0,297.0234069824219,2023-04-12,360.3309326171875
2022-04-29,Wells Fargo,305.0,281.6458740234375,2023-05-01,396.2224426269531
2022-04-29,Morgan Stanley,369.0,281.6458740234375,2023-05-01,396.2224426269531
2022-04-29,BMO Capital,358.0,281.6458740234375,2023-05-01,396.2224426269531
2022-05-02,Mizuho,356.0,279.1680908203125,2023-05-02,394.6505432128906
2022-05-23,SVB Leerink,341.0,292.7232666015625,2023-05-23,414.28619384765625
2022-06-01,JP Morgan,355.0,300.9263610839844,2023-06-01,427.28619384765625
2022-07-07,Barclays,355.0,317.24578857421875,2023-07-07,442.54736328125
2022-07-08,Morgan Stanley,395.0,319.68359375,2023-07-10,443.6046142578125
2022-09-06,BMO Capital,396.0,297.7743835449219,2023-09-06,549.3179321289062
2022-09-07,Morgan Stanley,412.0,302.4135437011719,2023-09-07,562.3457641601562
2022-09-22,UBS,363.0,301.7050476074219,2023-09-22,540.0864868164062
2022-10-12,Morgan Stanley,408.0,315.0011901855469,2023-10-12,598.9081420898438
2022-11-02,Wells Fargo,365.0,344.49517822265625,2023-11-02,569.2715454101562
2022-11-02,Barclays,395.0,344.49517822265625,2023-11-02,569.2715454101562
2022-11-02,SVB Leerink,384.0,344.49517822265625,2023-11-02,569.2715454101562
2022-11-02,Morgan Stanley,441.0,344.49517822265625,2023-11-02,569.2715454101562
2022-11-08,Goldman Sachs,313.0,355.8502197265625,2023-11-08,607.3742065429688
2022-11-17,Morgan Stanley,436.0,351.1105651855469,2023-11-17,581.54736328125
2022-11-18,Credit Suisse,395.0,351.9864501953125,2023-11-20,587.3363037109375
2022-11-22,Berenberg,375.0,351.2176208496094,2023-11-22,584.869384765625
2022-12-05,Cowen & Co.,430.0,359.4024963378906,2023-12-05,578.0486450195312
2022-12-06,Credit Suisse,400.0,358.6725769042969,2023-12-06,579.1295776367188
2022-12-06,Morgan Stanley,446.0,358.6725769042969,2023-12-06,579.1295776367188
2022-12-07,Guggenheim,401.0,362.01068115234375,2023-12-07,578.1664428710938
2022-12-08,Wells Fargo,375.0,361.83551025390625,2023-12-08,587.7785034179688
2022-12-14,Morgan Stanley,440.0,353.76751708984375,2023-12-14,563.8171997070312
2022-12-15,UBS,420.0,350.37091064453125,2023-12-15,562.215087890625
2022-12-16,SVB Leerink,410.0,350.23468017578125,2023-12-18,569.8026733398438
2023-01-03,Barclays,400.0,355.21759033203125,2024-01-03,607.0909423828125
2023-02-03,Morgan Stanley,455.0,330.0013122558594,2024-02-05,694.071044921875
2023-02-03,Wells Fargo,360.0,330.0013122558594,2024-02-05,694.071044921875
2023-02-16,Societe Generale,278.0,318.3663635253906,2024-02-16,769.9754028320312
2023-03-01,Morgan Stanley,444.0,306.7474365234375,2024-02-29,742.0338745117188
2023-03-03,Citigroup,360.0,310.9068298339844,2024-03-04,780.0374755859375
2023-03-06,Jefferies,290.0,311.4243469238281,2024-03-05,765.574462890625
2023-03-13,Wells Fargo,375.0,316.82366943359375,2024-03-12,743.2843017578125
2023-04-03,Jefferies,310.0,342.4535217285156,2024-04-02,752.155029296875
2023-04-10,Morgan Stanley,448.0,358.3293762207031,2024-04-09,745.538818359375
2023-04-11,Guggenheim,392.0,355.43927001953125,2024-04-10,750.2056884765625
2023-04-14,Morgan Stanley,445.0,365.8768005371094,2024-04-15,739.1688232421875
2023-04-28,Wells Fargo,440.0,386.5075378417969,2024-04-29,725.8086547851562
2023-04-28,Credit Suisse,420.0,386.5075378417969,2024-04-29,725.8086547851562
2023-04-28,Morgan Stanley,478.0,386.5075378417969,2024-04-29,725.8086547851562
2023-04-28,Cantor Fitzgerald,485.0,386.5075378417969,2024-04-29,725.8086547851562
2023-04-28,JP Morgan,430.0,386.5075378417969,2024-04-29,725.8086547851562
2023-05-01,Barclays,420.0,396.2224426269531,2024-04-30,769.0302124023438
2023-05-01,SVB Securities,458.0,396.2224426269531,2024-04-30,769.0302124023438
2023-05-04,Credit Suisse,490.0,418.3177795410156,2024-05-03,723.6129760742188
2023-05-04,JP Morgan,475.0,418.3177795410156,2024-05-03,723.6129760742188
2023-05-04,BMO Capital,505.0,418.3177795410156,2024-05-03,723.6129760742188
2023-05-15,Morgan Stanley,507.0,425.34796142578125,2024-05-14,752.1747436523438
2023-05-22,Cantor Fitzgerald,485.0,424.8388366699219,2024-05-21,792.1069946289062
2023-05-23,TD Cowen,500.0,414.28619384765625,2024-05-22,791.8506469726562
2023-05-24,B of A Securities,500.0,416.79217529296875,2024-05-23,797.3143310546875
2023-05-26,Cantor Fitzgerald,485.0,416.8117980957031,2024-05-28,796.7324829101562
2023-05-26,Wells Fargo,500.0,416.8117980957031,2024-05-28,796.7324829101562
2023-06-20,Cantor Fitzgerald,485.0,442.42010498046875,2024-06-20,873.7862548828125
2023-06-27,Truist Securities,430.0,454.70556640625,2024-06-26,888.8458862304688
2023-06-27,Cantor Fitzgerald,550.0,454.70556640625,2024-06-26,888.8458862304688
2023-07-11,Morgan Stanley,551.0,430.125,2024-07-10,926.8353271484375
2023-07-13,Cantor Fitzgerald,550.0,425.5339050292969,2024-07-12,935.3366088867188
2023-07-14,HSBC,560.0,439.9826965332031,2024-07-15,937.3682861328125
2023-07-17,Cantor Fitzgerald,550.0,437.7116394042969,2024-07-16,928.6303100585938
2023-07-20,Truist Securities,525.0,454.0399169921875,2024-07-19,845.6590576171875
2023-07-21,Jefferies,430.0,452.29736328125,2024-07-22,854.0419921875
2023-07-21,Morgan Stanley,560.0,452.29736328125,2024-07-22,854.0419921875
2023-07-26,Citigroup,525.0,444.0256042480469,2024-07-25,809.8788452148438
2023-07-28,JP Morgan,510.0,448.8124694824219,2024-07-29,796.6633911132812
2023-08-08,Wells Fargo,615.0,510.6015625,2024-08-07,761.5044555664062
2023-08-09,Jefferies,615.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,RBC Capital,580.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Morgan Stanley,617.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Credit Suisse,580.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Truist Securities,600.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Goldman Sachs,470.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Cantor Fitzgerald,550.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,BMO Capital,633.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,Barclays,590.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-09,JP Morgan,600.0,515.1339111328125,2024-08-08,833.66650390625
2023-08-10,Goldman Sachs,470.0,510.3470764160156,2024-08-09,879.3978271484375
2023-08-22,Cantor Fitzgerald,630.0,543.1472778320312,2024-08-21,940.169189453125
2023-09-05,Morgan Stanley,640.0,547.59130859375,2024-09-04,934.5794067382812
2023-09-05,Argus Research,620.0,547.59130859375,2024-09-04,934.5794067382812
2023-09-05,Cantor Fitzgerald,630.0,547.59130859375,2024-09-04,934.5794067382812
2023-10-02,Cantor Fitzgerald,630.0,528.0692749023438,2024-10-01,873.5159301757812
2023-10-09,Wells Fargo,650.0,560.9036865234375,2024-10-08,902.3935546875
2023-10-09,Cantor Fitzgerald,630.0,560.9036865234375,2024-10-08,902.3935546875
2023-10-11,Morgan Stanley,673.0,593.7871704101562,2024-10-10,899.4009399414062
2023-10-23,Citigroup,675.0,565.7008056640625,2024-10-22,897.8800659179688
2023-10-23,Cantor Fitzgerald,630.0,565.7008056640625,2024-10-22,897.8800659179688
2023-11-03,Morgan Stanley,722.0,557.0286254882812,2024-11-04,796.1470947265625
2023-11-09,Deutsche Bank,535.0,580.0922241210938,2024-11-08,821.232177734375
2023-11-15,Cantor Fitzgerald,630.0,578.431884765625,2024-11-14,776.4838256835938
2023-11-17,Cantor Fitzgerald,630.0,581.54736328125,2024-11-18,719.3750610351562
2023-11-20,Cantor Fitzgerald,630.0,587.3363037109375,2024-11-19,721.8777465820312
2023-11-29,Truist Securities,650.0,581.6946411132812,2024-11-29,786.7916870117188
2023-12-21,Daiwa Capital,610.0,562.1758422851562,2024-12-20,759.49853515625
2024-01-23,Cantor Fitzgerald,630.0,618.8652954101562,2025-01-22,745.8668212890625
2024-01-23,Barclays,680.0,618.8652954101562,2025-01-22,745.8668212890625
2024-01-24,Wells Fargo,700.0,622.8162231445312,2025-01-23,758.3510131835938
2024-02-01,Cantor Fitzgerald,630.0,649.087158203125,2025-01-31,802.3524169921875
2024-02-05,Cantor Fitzgerald,630.0,694.071044921875,2025-02-04,817.1810913085938
2024-02-06,Cantor Fitzgerald,815.0,692.921142578125,2025-02-05,833.1178588867188
2024-02-06,Wells Fargo,825.0,692.921142578125,2025-02-05,833.1178588867188
2024-02-07,BMO Capital,865.0,712.9215087890625,2025-02-06,861.00439453125
2024-02-07,Wells Fargo,825.0,712.9215087890625,2025-02-06,861.00439453125
2024-02-07,Barclays,810.0,712.9215087890625,2025-02-06,861.00439453125
2024-02-07,Truist Securities,850.0,712.9215087890625,2025-02-06,861.00439453125
2024-02-07,Morgan Stanley,805.0,712.9215087890625,2025-02-06,861.00439453125
2024-02-14,Cantor Fitzgerald,815.0,745.6078491210938,2025-02-13,862.4783325195312
2024-02-16,Morgan Stanley,950.0,769.9754028320312,2025-02-18,849.4375610351562
2024-02-20,Cantor Fitzgerald,815.0,743.9833374023438,2025-02-19,859.1984252929688
2024-02-21,DZ Bank,820.0,734.384033203125,2025-02-20,865.2134399414062
2024-03-01,B of A Securities,1000.0,770.0343627929688,2025-03-03,921.3009033203125
2024-03-15,JP Morgan,850.0,742.516357421875,2025-03-17,817.2913818359375
2024-03-22,Truist Securities,850.0,758.7022094726562,2025-03-24,857.06787109375
2024-04-01,Cantor Fitzgerald,815.0,748.7977294921875,2025-04-01,797.9381713867188
2024-04-02,Citigroup,895.0,752.155029296875,2025-04-02,810.8106079101562
2024-04-05,Cantor Fitzgerald,815.0,772.0922241210938,2025-04-07,717.1762084960938
2024-04-11,Goldman Sachs,723.0,747.8525390625,2025-04-11,725.777587890625
2024-04-15,Cantor Fitzgerald,815.0,739.1688232421875,2025-04-15,750.3233642578125
2024-04-18,Cantor Fitzgerald,815.0,734.4234008789062,2025-04-21,810.6123657226562
2024-04-30,Cantor Fitzgerald,885.0,769.0302124023438,2025-04-30,890.8095703125
2024-05-01,Truist Securities,892.0,764.7474365234375,2025-05-01,786.9089965820312
2024-05-01,Cantor Fitzgerald,885.0,764.7474365234375,2025-05-01,786.9089965820312
2024-05-01,JP Morgan,900.0,764.7474365234375,2025-05-01,786.9089965820312
2024-05-01,BMO Capital,1001.0,764.7474365234375,2025-05-01,786.9089965820312
2024-05-14,Argus Research,840.0,752.1747436523438,2025-05-14,709.0802001953125
